filename,split,damage,damage_quartile,cv_fold_4,cv_fold_5,file_path
train01.csv,val,0.103662995,Q3,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train01.csv
train02.csv,val,0.149208849,Q3,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train02.csv
train03.csv,train,0.111297606,Q3,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train03.csv
train04.csv,train,0.894736481,Q4,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train04.csv
train05.csv,val,0.054740135,Q2,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train05.csv
train06.csv,val,0.467359393,Q4,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train06.csv
train07.csv,val,0.028737481,Q1,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train07.csv
train08.csv,train,0.078418334,Q2,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train08.csv
train09.csv,train,0.033628754,Q1,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train09.csv
train10.csv,train,0.716510036,Q4,2,2,problem_statements/PS3/02_Datasets/SHM/Train/train10.csv
train11.csv,train,0.056409053,Q2,2,2,problem_statements/PS3/02_Datasets/SHM/Train/train11.csv
train12.csv,train,0.054978382,Q2,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train12.csv
train13.csv,val,0.028620288,Q1,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train13.csv
train14.csv,train,0.035544524,Q1,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train14.csv
train15.csv,train,0.051323979,Q2,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train15.csv
train16.csv,train,0.61202604,Q4,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train16.csv
train17.csv,train,0.423558906,Q4,2,2,problem_statements/PS3/02_Datasets/SHM/Train/train17.csv
train18.csv,train,0.375658256,Q3,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train18.csv
train19.csv,train,0.033974091,Q1,3,3,problem_statements/PS3/02_Datasets/SHM/Train/train19.csv
train20.csv,train,0.115031186,Q3,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train20.csv
train21.csv,train,0.056276601,Q2,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train21.csv
train22.csv,val,0.080670606,Q2,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train22.csv
train23.csv,train,0.789624017,Q4,3,3,problem_statements/PS3/02_Datasets/SHM/Train/train23.csv
train24.csv,train,0.060708901,Q2,1,2,problem_statements/PS3/02_Datasets/SHM/Train/train24.csv
train25.csv,val,0.057598512,Q2,0,1,problem_statements/PS3/02_Datasets/SHM/Train/train25.csv
train26.csv,train,0.028622651,Q1,1,2,problem_statements/PS3/02_Datasets/SHM/Train/train26.csv
train27.csv,train,0.672913029,Q4,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train27.csv
train28.csv,train,0.159309086,Q3,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train28.csv
train29.csv,train,0.045191049,Q1,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train29.csv
train30.csv,train,0.09275185,Q2,1,2,problem_statements/PS3/02_Datasets/SHM/Train/train30.csv
train31.csv,val,0.928338975,Q4,0,1,problem_statements/PS3/02_Datasets/SHM/Train/train31.csv
train32.csv,val,0.05965584,Q2,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train32.csv
train33.csv,train,0.028831268,Q1,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train33.csv
train34.csv,val,0.700103573,Q4,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train34.csv
train35.csv,train,0.028827561,Q1,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train35.csv
train36.csv,train,0.332861874,Q3,2,2,problem_statements/PS3/02_Datasets/SHM/Train/train36.csv
train37.csv,train,0.50786784,Q4,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train37.csv
train38.csv,train,0.035914277,Q1,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train38.csv
train39.csv,train,0.542141961,Q4,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train39.csv
train40.csv,train,0.178849028,Q3,2,2,problem_statements/PS3/02_Datasets/SHM/Train/train40.csv
train41.csv,val,0.132170551,Q3,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train41.csv
train42.csv,train,0.132121434,Q3,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train42.csv
train43.csv,train,0.435326638,Q4,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train43.csv
train44.csv,train,0.141935868,Q3,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train44.csv
train45.csv,train,0.187610341,Q3,1,2,problem_statements/PS3/02_Datasets/SHM/Train/train45.csv
train46.csv,train,0.094676808,Q2,3,3,problem_statements/PS3/02_Datasets/SHM/Train/train46.csv
train47.csv,train,0.072398903,Q2,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train47.csv
train48.csv,train,0.132467063,Q3,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train48.csv
