is_open,n_rows,cur_mean,cur_std,cur_max,cur_mid_mean,cur_mid_median,cur_mid_std,cur_mid_max,cur_mid_min,cur_mid_p90,cur_inrush_max,cur_sum,volt_mean,power_mean,power_mid_mean,power_sum,emf_mean,emf_mid_mean,emf_std,pos_delta,segment_id,start_time,end_time,status,target
0.0,186.0,430.6989247311828,523.6706012380247,2208.0,184.34408602150538,247.0,112.03671581598287,394.0,0.0,272.4,1432.0,80110.0,41.46236559139785,18.59510215053763,8.896236559139785,3458.6889999999994,892.0698924731183,1086.1827956989248,444.4114513891321,700.0,train_seg_001,2023-7-5-0-0-0-0,2023-7-5-0-0-3-700,Normal,0
1.0,143.0,636.2657342657343,727.5470998719967,2493.0,240.33333333333334,283.5,136.67306895573017,620.0,6.0,359.0,1767.0,90986.0,55.21678321678322,36.181636363636365,17.259666666666664,5173.974,1178.7272727272727,1704.7777777777778,905.674737317785,701.0,train_seg_002,2023-7-5-0-0-23-999,2023-7-5-0-0-26-839,Normal,0
1.0,137.0,862.4525547445255,777.9440428979032,2493.0,468.9264705882353,520.0,281.5027591640179,996.0,12.0,774.8000000000001,2355.0,118156.0,61.97080291970803,61.19336496350365,40.95042647058823,8383.491,1192.4306569343066,1785.6323529411766,896.0085276870359,695.0,train_seg_003,2023-7-5-0-0-51-266,2023-7-5-0-0-53-986,Abnormal resistance,1
0.0,187.0,576.5775401069519,457.69306218763865,1993.0,514.1914893617021,462.5,235.25831328589058,970.0,182.0,866.1,1423.0,107820.0,45.24598930481283,27.785636363636364,28.054819148936172,5195.914,878.3048128342245,1070.840425531915,413.4070104473279,700.0,train_seg_004,2023-7-5-0-1-33-989,2023-7-5-0-1-37-709,Abnormal resistance,1
0.0,186.0,484.5483870967742,446.1452947222182,1993.0,311.0967741935484,297.0,101.65121312300762,529.0,85.0,461.0,1402.0,90126.0,43.39247311827957,21.64305913978495,15.182473118279571,4025.6090000000004,881.5268817204301,1078.1827956989248,418.4398979568085,699.0,train_seg_005,2023-7-5-0-2-24-608,2023-7-5-0-2-28-308,Abnormal resistance,1
1.0,144.0,630.2777777777778,724.1658558150854,2501.0,237.625,277.5,142.0775841945363,644.0,9.0,349.7,1770.0,90760.0,54.72222222222222,35.819916666666664,16.888277777777777,5158.067999999999,1168.763888888889,1682.3194444444443,909.3156308311022,700.0,train_seg_006,2023-7-5-0-2-59-77,2023-7-5-0-3-1-937,Normal,0
1.0,140.0,648.4857142857143,734.654782735346,2496.0,245.5142857142857,271.5,135.46994847114803,623.0,9.0,353.6,1822.0,90788.0,56.22857142857143,37.30696428571429,17.775814285714286,5222.975,1201.9071428571428,1745.7142857142858,921.31130845759,697.0,train_seg_007,2023-7-5-0-3-56-723,2023-7-5-0-3-59-503,Normal,0
1.0,145.0,644.8827586206896,740.582729583878,2504.0,240.94444444444446,280.5,144.3919135248163,679.0,9.0,349.7,1802.0,93508.0,54.689655172413794,36.42333103448276,16.91175,5281.383,1160.1241379310345,1687.763888888889,906.5873933775791,699.0,train_seg_008,2023-7-5-0-4-37-800,2023-7-5-0-4-40-680,Normal,0
0.0,187.0,585.6684491978609,444.11891650682844,2002.0,437.27659574468083,453.0,146.14452219339066,694.0,94.0,635.0,1396.0,109520.0,45.331550802139034,27.02845454545455,22.419712765957446,5054.321000000001,875.9465240641712,1060.7021276595744,418.5015507049685,700.0,train_seg_009,2023-7-5-0-5-4-993,2023-7-5-0-5-8-713,Abnormal resistance,1
1.0,143.0,634.1468531468531,726.7958703621066,2507.0,243.84722222222223,277.5,145.80787013149856,691.0,9.0,361.4,1755.0,90683.0,54.89510489510489,35.85818881118881,17.26043055555556,5127.721,1177.076923076923,1709.2916666666667,915.9076210549929,700.0,train_seg_010,2023-7-5-0-5-45-986,2023-7-5-0-5-48-826,Normal,0
0.0,186.0,426.69354838709677,520.9428978895887,2143.0,184.3763440860215,250.0,110.89246112798375,382.0,0.0,270.0,1423.0,79365.0,41.25806451612903,18.379005376344086,8.859075268817204,3418.495,889.6505376344086,1080.3655913978494,441.78247387163407,700.0,train_seg_011,2023-7-5-0-6-41-261,2023-7-5-0-6-44-961,Normal,0
1.0,141.0,661.063829787234,746.5369240060948,2537.0,252.5857142857143,277.5,150.38669136188716,732.0,9.0,354.70000000000005,1802.0,93210.0,56.163120567375884,37.730978723404256,18.073971428571426,5320.068,1192.2695035460993,1751.357142857143,924.8432635423213,696.0,train_seg_012,2023-7-5-0-7-14-763,2023-7-5-0-7-17-563,Normal,0
1.0,137.0,797.007299270073,812.0437539571875,2496.0,313.8970588235294,342.5,192.80820550224655,947.0,9.0,541.6000000000003,2369.0,109190.0,60.54014598540146,53.81831386861314,24.783573529411765,7373.109,1194.5985401459855,1807.8676470588234,894.4746405715514,695.0,train_seg_013,2023-7-5-0-7-33-804,2023-7-5-0-7-36-524,Abnormal resistance,1
0.0,179.0,435.00558659217876,525.3269319610887,2090.0,196.5888888888889,244.0,102.94474185961714,379.0,0.0,267.0,1481.0,77866.0,42.60335195530726,19.141525139664804,9.6503,3426.3329999999996,922.68156424581,1140.411111111111,454.3416555186775,700.0,train_seg_014,2023-7-5-0-7-58-252,2023-7-5-0-8-1-812,Normal,0
0.0,185.0,424.02162162162165,515.1861060401666,2163.0,183.1413043478261,245.5,107.4595557409289,364.0,0.0,269.70000000000005,1429.0,78444.0,41.38918918918919,18.300654054054053,8.903641304347826,3385.621,894.6864864864865,1091.3478260869565,441.7723384352784,700.0,train_seg_015,2023-7-5-0-8-17-730,2023-7-5-0-8-21-410,Normal,0
1.0,141.0,637.8581560283687,725.5569499920088,2493.0,249.92857142857142,280.5,139.88233028703308,694.0,12.0,348.5,1781.0,89938.0,55.98581560283688,36.66483687943263,17.863928571428577,5169.742,1194.4397163120568,1755.4571428571428,908.7422870309367,699.0,train_seg_016,2023-7-5-0-8-44-405,2023-7-5-0-8-47-205,Normal,0
